metal,avg,min,max,std,count,
Am,0.76788761,0.760014514,0.773881513,0.007070752,4,
Ce,0.814035047,0.814035047,0.814035047,0,1,
Co,0.959395961,0.952031159,0.966760764,0.010415403,2,
Cr,0.87392861,0.799180314,1.018453462,0.023193201,332,
Fe,0.945075794,0.907370912,1.031026613,0.038593856,24,
Hf,0.849062547,0.849062547,0.849062547,0,1,
Ir,0.969059148,0.932336913,0.987423129,0.031802388,3,
La,1.06431122,1.052084396,1.076538045,0.017291341,2,
Mn,0.877267486,0.767598761,1.028880997,0.065610529,43,
Mo,0.846951502,0.759104478,1.198433111,0.022023247,3690,
Nb,0.82760043,0.783656402,1.108295549,0.03621571,119,
Ni,1.186873115,1.083468208,1.290278022,0.146236622,2,
Np,0.764864742,0.722526454,1.051528513,0.028816006,188,
Os,0.899358307,0.843020833,1.026595988,0.016334881,327,
Pa,0.750843127,0.750843127,0.750843127,0,1,
Pu,0.744027505,0.719301711,0.776125597,0.010125398,84,
Re,0.876609345,0.569944295,1.201640147,0.028364752,3123,
Ru,0.917002467,0.856749575,0.971583731,0.023489772,79,
Ta,0.842807854,0.821873648,0.971339713,0.036170194,15,
Tc,0.880331045,0.819714799,0.99984932,0.022365732,314,
Th,0.810283252,0.810283252,0.810283252,0,1,
Ti,0.828192864,0.809741878,0.899145729,0.013356636,56,
U,0.764211927,0.583212372,1.112612324,0.040440426,3345,
V,0.81503691,0.773877719,1.210517607,0.022300605,2577,
W,0.862678567,0.758994226,1.226126834,0.026110934,835,
Zr,0.831452232,0.831452232,0.831452232,0,1,
Others,0.868044177,0.812749222,0.999335112,0.025628015,583.4230769,
